,0,1
291,SNDA,15.4464
292,AWK,147.2
293,ARMK,39.3
294,PFTAU,9.93
295,AEVA,2.0092
296,FIZZ,46.78
297,EBET,0.9352
298,EXPI,13.14
299,BBSI,86.76
300,DECK,332.17
301,HALO,48.24
302,PWUP,10.175
303,OHPAU,10.02
304,ROSS,10.0
305,ONCS,0.435
306,IPW,0.5978
307,RNP,22.353
308,EXPO,94.09
309,OESX,1.71
310,EVOP,33.48
311,SCHW,76.06
312,ALPA,9.8
313,GIIXW,0.9
314,ON,67.48
315,PLAB,16.48
316,DBRG,13.86
317,FITB,35.98
318,ATER,1.1
319,LLAP,2.5391
320,CONXU,10.0646
321,SENEB,63.23
322,BWAC,10.39
323,DGLY,0.3526
324,AEACU,10.0
325,APLS,60.6
326,ACDI,10.21
327,STAG,32.905
328,YTPG,9.85
329,AMPY,8.95
330,COTY,7.545
331,JCICU,10.05
332,TRV,184.0
333,KEN,39.62
334,OSBC,15.76
335,BST,32.1544
336,DATSW,0.1
337,CAF,13.01
338,VKTX,4.16
339,ITGR,70.7
340,CNCE,6.03
341,PEPG,10.81
342,ACHR,2.655
343,PIXY,11.98
344,OCAX,10.12
345,BEAT,3.24
346,FLFV,9.98
347,BPACW,0.06
348,CSSEN,25.2
349,REAL,1.58
350,SEATW,2.3
351,DMB,10.04
352,BIOSU,10.11
353,BGXX,0.5563
354,SKY,53.305
355,MCB,70.68
356,INSG,2.23
357,SAMG,18.36
358,IRM,52.28
359,MTW,10.06
360,CHRD,151.07
361,BYRN,6.9
362,ENFN,13.62
363,UMPQ,19.93
364,MLNK,15.47
365,BWBBP,19.97
366,ACTG,3.9
367,TBLT,2.15
368,KTB,40.76
369,UTZ,17.44
370,VOC,9.415
371,NRIM,48.14
372,CTAQU,9.995
373,MODN,38.98
374,CX,4.49
375,MNSBP,25.43
376,VTEX,4.16
377,IEX,228.8
378,SUI,140.87
379,CCAIU,9.935
380,SRAX,1.7
381,INOD,3.26
382,PODD,255.55
383,NKE,105.82
384,CDIOW,0.0898
385,SITM,94.42
386,KEY^I,23.87
387,BGB,10.73
388,FARM,5.14
389,MKFG,1.715
390,TRN,29.95
391,COFS,22.75
392,HTPA,10.05
393,VTRS,10.07
394,CMCAW,0.0387
395,IONM,0.6745
396,GEHI,19.8697
397,GATEW,0.06
398,UL,47.4247
399,YSG,1.17
